restaurant_name,dish,rating,feedback,date,latitude,longitude
The Grill House,Burger,4,"Delicious burger, would come back again!",2024-11-25,17.385044,78.486671
Pizza Palace,Pizza,5,"Best pizza in town! Highly recommend.",2024-11-24,17.401601,78.500000
Sushi World,Sushi,3,"Average sushi, nothing special.",2024-11-23,17.384106,78.478231
Burger King,Burger,2,"The burger was undercooked. Not happy.",2024-11-22,17.393751,78.471457
Pasta Place,Pasta,4,"Great pasta, but a little too salty.",2024-11-21,17.410494,78.489990
The Grill House,Steak,5,"Perfectly cooked steak! Excellent service.",2024-11-20,17.385044,78.486671
Pizza Palace,Pizza,4,"Good pizza, but could use more cheese.",2024-11-19,17.401601,78.500000
Sushi World,Sushi,2,"Very bland. Expected better.",2024-11-18,17.384106,78.478231
Burger King,Burger,3,"It was okay, but the bun was soggy.",2024-11-17,17.393751,78.471457
Pasta Place,Pasta,5,"Absolutely love this pasta! Full of flavor.",2024-11-16,17.410494,78.489990
The Grill House,Burger,4,"Tasty burger, just the right amount of seasoning.",2024-11-15,17.385044,78.486671
Pizza Palace,Pizza,5,"Best pizza I’ve ever had. So cheesy and flavorful.",2024-11-14,17.401601,78.500000
Sushi World,Sushi,3,"Fresh ingredients, but the rolls were a bit small.",2024-11-13,17.384106,78.478231
Burger King,Burger,1,"The fries were cold and the burger was dry.",2024-11-12,17.393751,78.471457
Pasta Place,Pasta,4,"Good pasta, but I felt like it was too much garlic.",2024-11-11,17.410494,78.489990
The Grill House,Steak,5,"Absolutely perfect steak, cooked just how I wanted.",2024-11-10,17.385044,78.486671
Pizza Palace,Pizza,3,"Pizza was okay, but not the best. Crust could be improved.",2024-11-09,17.401601,78.500000
Sushi World,Sushi,4,"Decent sushi, better than expected.",2024-11-08,17.384106,78.478231
Burger King,Burger,3,"Good enough for a quick meal, but nothing extraordinary.",2024-11-07,17.393751,78.471457
Pasta Place,Pasta,5,"Amazing pasta, rich flavors and perfectly cooked.",2024-11-06,17.410494,78.489990
The Grill House,Burger,2,"The burger was cold and lacked flavor.",2024-11-05,17.385044,78.486671
Pizza Palace,Pizza,4,"The pizza was good, but a little oily.",2024-11-04,17.401601,78.500000
Sushi World,Sushi,5,"Fantastic sushi, great variety of fish!",2024-11-03,17.384106,78.478231
