restaurant_name,feedback,rating,date,latitude,longitude
Spicy Hub,"Great food and service!",5,2024-01-01,17.4,78.5
Spicy Hub,"The food was average.",3,2024-01-15,17.35,78.5
Spicy Hub,"Not satisfied with the service.",2,2024-02-01,17.45,78.55
Urban Bites,"Loved the pasta and ambiance.",5,2024-03-02,17.34,78.53
Urban Bites,"Service could be better.",3,2024-03-15,17.35,78.54
Cafe Delight,"Amazing coffee and ambiance.",4,2024-01-10,17.33,78.52
Cafe Delight,"Too crowded on weekends.",2,2024-02-05,17.32,78.48
Grill Street,"Best BBQ in town!",5,2024-03-08,17.39,78.51
Grill Street,"A bit overpriced.",3,2024-03-18,17.41,78.49
Tandoori Treat,"Excellent tandoori dishes!",5,2024-04-10,17.4,78.47
Tandoori Treat,"Food was cold, not happy.",2,2024-04-20,17.36,78.5
Pizza Point,"Love their pepperoni pizza!",4,2024-02-14,17.37,78.53
Pizza Point,"Could improve the crust.",3,2024-02-28,17.38,78.55
Burger Haven,"Best burgers in the area!",5,2024-03-20,17.45,78.52
Burger Haven,"Slow service.",2,2024-03-25,17.43,78.5
Noodle Nest,"Great variety of noodles!",4,2024-01-25,17.44,78.49
Noodle Nest,"Needs more spice.",3,2024-02-15,17.42,78.51
Spice Villa,"Wonderful experience!",5,2024-02-28,17.35,78.53
Spice Villa,"Food was bland.",2,2024-03-05,17.33,78.54
Biryani Bliss,"Amazing biryani, must try!",5,2024-04-02,17.39,78.5
Biryani Bliss,"Too oily.",2,2024-04-18,17.38,78.52
Taste Town,"Great service and food.",4,2024-01-12,17.37,78.53
Taste Town,"The food took too long.",3,2024-01-28,17.35,78.55
Chaat Corner,"Authentic taste!",5,2024-03-10,17.36,78.49
Chaat Corner,"Too spicy for me.",2,2024-03-20,17.44,78.48
Dosa Delight,"Loved the masala dosa!",5,2024-02-14,17.39,78.47
Dosa Delight,"Sambhar was too sweet.",3,2024-03-01,17.42,78.52
Sushi Spot,"Best sushi in Hyderabad!",5,2024-01-18,17.31,78.5
Sushi Spot,"Rice was undercooked.",2,2024-02-01,17.34,78.48
Taco Town,"Great tacos, fresh ingredients.",4,2024-03-05,17.33,78.53
Taco Town,"Too expensive.",3,2024-03-15,17.36,78.51
Waffle World,"Best waffles around!",5,2024-01-22,17.38,78.47
Waffle World,"Chocolate syrup tasted off.",2,2024-01-30,17.37,78.5
Pasta Palace,"Perfect pasta every time!",5,2024-03-20,17.45,78.49
Pasta Palace,"Could use more flavor.",3,2024-03-30,17.35,78.52
Salad Shack,"Healthy and delicious.",4,2024-01-15,17.41,78.54
Salad Shack,"Portions too small.",3,2024-02-01,17.43,78.53
Wrap N Roll,"Loved the chicken wrap.",5,2024-02-28,17.42,78.48
Wrap N Roll,"Dry and flavorless.",2,2024-03-05,17.35,78.47
Bistro Bay,"Perfect seafood options.",4,2024-01-25,17.36,78.52
Bistro Bay,"Overcooked prawns.",2,2024-02-14,17.33,78.5
Juice Junction,"Fresh juices and smoothies.",5,2024-03-03,17.4,78.51
Juice Junction,"Watery taste.",2,2024-03-17,17.44,78.55
Deli Dreams,"Good sandwiches.",4,2024-01-20,17.37,78.53
Deli Dreams,"Bread was stale.",2,2024-02-05,17.35,78.48
Veggie Village,"Nice vegetarian options.",5,2024-01-30,17.39,78.5
Veggie Village,"Lacked flavor.",3,2024-02-10,17.31,78.52
The Curry Club,"Great curries and naan.",5,2024-03-15,17.32,78.47
The Curry Club,"Too spicy.",2,2024-03-25,17.43,78.49
Falafel Fiesta,"Loved the falafel!",5,2024-01-28,17.38,78.54
Falafel Fiesta,"Too dry.",3,2024-02-20,17.42,78.55
Sizzler Station,"Amazing sizzlers!",5,2024-03-12,17.36,78.48
Sizzler Station,"Lacked seasoning.",2,2024-03-18,17.34,78.47
Donut Den,"Fresh and tasty donuts.",4,2024-01-18,17.35,78.5
Donut Den,"Too sugary.",3,2024-02-02,17.39,78.49
BBQ Barn,"Great BBQ flavors.",5,2024-03-07,17.4,78.52
BBQ Barn,"Too expensive.",3,2024-03-22,17.36,78.53
The Kebab House,"Delicious kebabs.",5,2024-04-10,17.35,78.55
